identificador,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49
1324,nombreA1324,apellidoA1324,46144,213.81,Activo,42907,10,8,21,26,12,97,68,25,64,21,6,52,14,72,37,69,79,28,0,14,74,76,34,63,82,92,32,90,72,33,10,36,61,45,76,42,36,23,18,83,76,13,0
1325,nombreA1325,apellidoA1325,46175,215.06,Activo,42908,71,27,75,66,16,41,83,47,20,43,36,13,74,4,59,66,56,43,10,89,98,82,50,5,97,84,99,15,7,98,46,96,21,80,40,37,43,49,75,40,38,81,56
1326,nombreA1326,apellidoA1326,46205,216.31,Activo,42909,96,0,84,5,39,2,91,20,16,10,31,45,90,52,7,39,95,28,43,5,97,44,82,65,14,86,37,11,42,83,56,52,98,71,80,98,88,96,25,60,38,39,57
1327,nombreA1327,apellidoA1327,46236,217.56,Activo,42910,20,78,98,98,45,29,38,54,91,75,29,54,20,52,99,80,47,72,91,10,75,83,21,52,37,2,73,64,24,50,91,32,99,89,16,19,5,75,35,12,17,80,19
1328,nombreA1328,apellidoA1328,46267,218.81,Activo,42911,60,5,89,74,7,56,2,84,1,61,56,53,86,44,77,8,69,82,13,12,15,75,99,51,11,86,42,47,44,81,92,38,44,59,44,3,80,8,75,16,30,48,87
1329,nombreA1329,apellidoA1329,46297,220.06,Activo,42912,59,19,97,91,57,83,19,59,71,56,94,74,38,31,7,18,98,4,6,59,1,53,12,20,21,81,22,28,65,27,9,77,44,92,88,21,69,25,56,21,33,38,39
1330,nombreA1330,apellidoA1330,46328,221.31,Activo,42913,1,45,18,89,93,87,45,42,85,45,57,93,44,72,51,96,94,76,84,9,44,8,85,89,65,35,66,51,23,7,90,68,34,29,97,13,13,99,64,1,15,48,45
1331,nombreA1331,apellidoA1331,46358,222.56,Activo,42914,10,53,88,52,28,80,41,81,37,59,1,64,8,49,50,97,85,43,89,57,17,61,26,47,33,98,57,17,34,11,89,3,49,20,75,26,88,35,48,20,64,62,67
1332,nombreA1332,apellidoA1332,46389,223.81,Activo,42915,79,61,26,1,96,39,34,2,60,24,8,15,62,55,58,44,98,83,23,21,70,5,64,50,14,12,85,0,51,78,89,17,73,11,16,0,85,61,13,63,10,56,67
1333,nombreA1333,apellidoA1333,46420,225.06,Activo,42916,17,53,16,98,22,18,58,58,3,5,35,72,34,40,96,2,79,29,85,48,6,65,37,57,74,23,97,93,26,82,47,73,54,96,13,47,79,75,53,16,95,83,27
1334,nombreA1334,apellidoA1334,46448,226.31,Activo,42917,55,32,74,46,4,73,34,29,85,48,23,19,53,75,86,92,92,60,46,51,23,59,83,99,39,19,48,75,53,13,52,23,3,62,49,61,60,0,96,33,5,3,78
1335,nombreA1335,apellidoA1335,46479,227.56,Activo,42918,25,32,29,63,37,49,65,84,44,66,90,65,25,41,58,87,64,55,15,41,8,11,1,16,39,8,95,91,73,5,37,69,99,51,29,75,59,61,76,55,33,47,62
1336,nombreA1336,apellidoA1336,46509,228.81,Activo,42919,22,18,79,17,15,55,61,1,42,29,18,44,74,42,14,99,41,20,62,19,11,70,67,59,52,25,67,98,53,97,86,30,19,29,42,10,84,95,12,35,88,21,22
1337,nombreA1337,apellidoA1337,46540,230.06,Activo,42920,39,17,2,49,34,61,55,46,58,69,90,30,87,49,83,89,49,70,72,4,58,91,49,15,80,47,1,13,98,77,83,87,43,28,24,42,62,28,48,9,90,60,68
1338,nombreA1338,apellidoA1338,46570,231.31,Activo,42921,60,68,87,60,77,61,51,11,39,44,71,66,94,62,65,16,34,62,90,97,75,81,60,7,86,5,18,4,82,72,75,84,70,96,54,84,53,24,5,80,1,68,86
1339,nombreA1339,apellidoA1339,46601,232.56,Activo,42922,37,17,74,41,41,94,22,46,44,13,79,31,86,87,29,29,37,1,54,75,74,17,5,8,92,73,18,41,82,23,16,46,96,24,58,91,8,99,12,10,59,18,75
1340,nombreA1340,apellidoA1340,46632,233.81,Activo,42923,36,79,11,47,75,34,0,77,88,75,93,58,34,73,62,11,66,29,24,20,49,73,43,56,96,70,52,73,11,81,37,87,63,36,63,46,7,16,54,25,18,71,34
1341,nombreA1341,apellidoA1341,46662,235.06,Activo,42924,3,99,5,98,85,25,89,61,12,49,56,58,38,69,43,51,24,16,56,65,17,18,71,87,35,85,77,92,34,0,32,13,10,59,20,85,85,21,20,18,99,79,48
1342,nombreA1342,apellidoA1342,46693,236.31,Activo,42925,76,14,42,36,52,99,19,60,55,26,92,47,46,81,67,65,14,39,28,74,95,94,40,25,58,79,20,87,3,23,39,12,65,84,81,17,38,59,55,82,65,32,88
1343,nombreA1343,apellidoA1343,46723,237.56,Activo,42926,41,40,68,29,95,47,60,0,3,8,17,78,30,65,31,32,76,73,92,95,50,88,58,20,87,44,48,32,54,96,62,15,56,72,95,50,90,75,52,2,7,50,17
1344,nombreA1344,apellidoA1344,46754,238.81,Activo,42927,9,64,44,77,87,29,21,5,13,71,72,82,37,81,86,77,52,51,72,67,68,64,56,28,18,30,0,65,66,98,57,38,35,14,22,0,86,40,3,32,29,70,75
1345,nombreA1345,apellidoA1345,43863,120.05,Activo,42928,43,41,76,44,23,44,52,86,39,52,68,23,16,92,84,99,49,41,33,18,82,5,83,97,52,84,84,61,31,25,3,15,85,36,80,30,10,19,48,23,8,36,27
1346,nombreA1346,apellidoA1346,43892,121.33,Activo,42929,6,77,55,69,15,6,22,14,86,92,89,37,15,37,23,72,49,59,67,87,10,76,50,40,48,94,1,33,92,73,26,38,25,59,56,22,44,44,30,61,35,28,1
1347,nombreA1347,apellidoA1347,43923,122.55,Activo,42930,62,73,48,77,80,7,32,42,59,73,53,35,18,34,1,11,42,3,60,8,58,11,88,51,49,84,20,44,28,85,72,3,54,24,51,53,11,15,99,34,16,78,95
1348,nombreA1348,apellidoA1348,43953,123.81,Activo,42931,86,25,45,48,41,5,2,59,59,4,35,83,95,73,58,11,35,15,73,83,72,45,28,72,65,1,69,25,68,98,45,4,78,20,39,7,48,31,27,35,64,62,83
1349,nombreA1349,apellidoA1349,43984,125.06,Activo,42932,25,10,0,21,94,5,21,14,36,91,44,98,7,61,93,70,67,33,64,55,63,97,16,94,71,14,29,97,78,94,66,30,31,99,44,0,92,14,56,9,72,17,45
1350,nombreA1350,apellidoA1350,44014,126.31,Activo,42933,93,69,26,13,68,10,36,12,51,69,34,89,95,51,56,0,83,78,51,43,14,64,82,7,14,84,25,97,47,5,82,94,99,9,50,50,28,77,91,6,56,85,47
1351,nombreA1351,apellidoA1351,44045,127.56,Activo,42934,22,63,61,82,79,91,87,7,54,40,26,73,12,78,96,31,45,19,20,59,27,32,30,70,77,51,60,62,65,84,5,26,62,90,33,58,84,48,38,72,27,94,23
1352,nombreA1352,apellidoA1352,44076,128.81,Activo,42935,82,97,10,51,14,38,37,30,48,66,58,25,59,50,13,38,71,11,28,51,50,79,36,63,88,11,42,46,53,65,87,55,64,53,93,93,49,40,15,97,78,66,11
1353,nombreA1353,apellidoA1353,44106,130.06,Activo,42936,22,59,65,1,80,99,84,99,50,80,7,41,54,52,31,92,1,39,75,47,49,34,1,14,69,97,98,26,74,28,36,88,30,38,78,49,31,74,58,71,35,60,96
1354,nombreA1354,apellidoA1354,44137,131.31,Activo,42937,5,67,80,11,38,3,46,15,25,17,2,18,76,91,95,38,26,48,88,56,47,2,79,19,62,5,66,66,36,27,96,63,62,36,65,59,49,58,15,92,86,54,84
1355,nombreA1355,apellidoA1355,44167,132.56,Activo,42938,70,1,42,21,87,38,61,99,49,86,38,41,97,42,73,88,1,38,39,95,98,20,48,64,93,36,81,90,99,35,52,9,81,42,65,12,19,22,46,99,78,16,0
1356,nombreA1356,apellidoA1356,44198,133.81,Activo,42939,31,83,75,65,8,58,66,31,16,80,95,87,57,22,58,20,44,51,34,79,87,65,28,78,16,18,20,71,82,82,38,67,80,89,41,27,16,45,85,20,74,3,35
1357,nombreA1357,apellidoA1357,44229,135.06,Activo,42940,41,46,66,51,21,27,30,45,99,15,67,44,56,64,86,69,41,25,48,92,88,69,32,37,55,97,79,35,73,25,36,55,49,95,70,75,43,42,79,53,66,63,91
1358,nombreA1358,apellidoA1358,44257,136.31,Activo,42941,53,41,67,5,30,93,4,75,10,89,66,69,22,64,12,87,38,67,48,53,46,25,18,35,43,23,89,90,60,30,36,26,53,6,42,38,49,12,11,32,72,46,5
1359,nombreA1359,apellidoA1359,44288,137.56,Activo,42942,56,85,83,45,32,55,46,17,91,95,74,57,73,26,32,85,18,44,27,28,35,11,20,95,88,75,93,44,11,38,48,74,64,85,57,94,20,89,11,10,86,4,1
1360,nombreA1360,apellidoA1360,44318,138.81,Activo,42943,46,67,92,27,30,71,32,61,73,46,32,52,13,50,66,88,84,69,8,68,10,73,98,6,15,1,43,29,79,86,31,30,32,17,80,19,91,79,74,9,77,3,85
1361,nombreA1361,apellidoA1361,44349,140.06,Activo,42944,26,20,45,75,85,53,22,25,72,91,38,56,52,15,82,18,31,86,58,45,21,6,14,24,67,19,11,83,56,56,91,57,48,29,78,24,13,93,60,44,30,62,34
1362,nombreA1362,apellidoA1362,44379,141.31,Activo,42945,81,12,56,39,37,68,19,76,29,52,95,50,92,11,95,4,97,22,17,38,30,73,21,15,74,21,74,69,94,77,39,64,50,81,87,79,59,68,43,92,80,80,45
1363,nombreA1363,apellidoA1363,44410,142.56,Activo,42946,44,68,84,80,21,65,36,40,22,2,0,33,59,77,87,69,84,9,61,58,84,3,85,4,92,76,88,69,84,13,16,2,77,25,81,26,55,0,41,77,11,31,96
1364,nombreA1364,apellidoA1364,44441,143.81,Activo,42947,22,72,67,37,48,70,43,79,92,60,73,21,9,15,63,15,33,24,45,1,14,32,87,63,38,86,42,38,71,71,76,92,0,95,73,74,76,27,19,7,21,16,78
1365,nombreA1365,apellidoA1365,44471,145.06,Activo,42948,97,64,0,53,17,17,44,11,70,95,52,52,28,21,40,25,91,26,75,49,4,2,88,3,57,25,60,87,78,37,79,47,52,49,74,76,68,36,92,63,2,88,23
1366,nombreA1366,apellidoA1366,44502,146.31,Activo,42949,94,62,14,34,47,62,45,49,7,52,12,91,31,17,88,27,4,8,36,68,71,23,52,72,26,34,98,32,92,47,60,14,91,27,20,94,87,82,24,31,97,98,22
1367,nombreA1367,apellidoA1367,44532,147.56,Activo,42950,85,89,47,36,35,61,92,97,82,9,67,35,9,51,27,20,76,3,50,6,36,51,21,36,39,89,40,15,39,21,3,56,11,1,73,0,64,45,89,66,67,34,94
1368,nombreA1368,apellidoA1368,44563,148.81,Activo,42951,82,58,79,46,15,32,68,73,54,91,38,94,51,1,31,34,36,74,55,53,55,79,30,19,61,69,21,97,24,81,4,77,59,7,99,71,98,81,70,6,35,88,81
1369,nombreA1369,apellidoA1369,44594,150.06,Activo,42952,31,11,59,12,73,84,56,89,23,39,55,94,99,43,68,31,53,64,62,61,52,49,92,59,47,24,58,77,82,74,6,23,23,85,9,0,23,73,3,56,59,79,12
1370,nombreA1370,apellidoA1370,44622,151.31,Activo,42953,42,7,2,96,26,6,84,80,65,12,38,65,34,1,42,57,75,83,70,3,10,61,77,18,77,54,69,68,32,5,30,74,70,65,12,49,60,71,45,49,51,97,51
1371,nombreA1371,apellidoA1371,44653,152.56,Activo,42954,77,64,3,43,77,51,49,33,84,17,98,48,81,15,53,18,18,25,76,80,29,18,18,57,16,34,18,15,24,37,35,35,23,56,69,62,41,55,8,40,83,75,99
1372,nombreA1372,apellidoA1372,44683,153.81,Activo,42955,76,11,79,82,68,9,2,22,62,11,31,46,65,39,79,7,80,73,11,8,10,62,74,52,14,35,31,82,84,50,30,71,36,5,79,64,90,95,58,49,63,74,27
1373,nombreA1373,apellidoA1373,44714,155.06,Activo,42956,19,22,5,10,65,45,86,86,3,62,29,90,53,38,70,5,87,63,25,40,75,4,46,42,81,58,17,87,7,95,68,3,3,53,92,27,76,96,54,7,13,66,94
1374,nombreA1374,apellidoA1374,44744,156.31,Activo,42957,67,52,4,69,16,98,90,57,94,26,67,42,86,0,49,4,33,80,86,12,37,33,87,96,24,10,84,43,93,84,23,23,34,23,17,77,42,81,88,81,4,40,34
1375,nombreA1375,apellidoA1375,44775,157.56,Activo,42958,59,31,31,52,10,25,39,2,51,52,11,19,28,40,59,38,47,81,47,25,82,16,51,46,27,40,87,80,80,4,88,52,64,92,96,17,62,94,96,47,75,89,3
1376,nombreA1376,apellidoA1376,44806,158.81,Activo,42959,97,24,95,24,91,90,95,78,3,94,36,79,96,4,79,51,45,90,80,41,80,56,48,73,41,56,45,69,9,94,81,39,44,0,60,58,13,97,80,46,56,21,46
1377,nombreA1377,apellidoA1377,44836,160.06,Activo,42960,87,62,42,76,85,75,99,65,53,39,8,54,52,46,66,81,74,45,93,50,8,37,44,6,92,6,3,60,76,49,43,74,24,22,87,93,72,33,29,72,65,37,61
1378,nombreA1378,apellidoA1378,44867,161.31,Activo,42961,29,62,14,96,29,74,53,48,41,83,81,15,15,50,84,37,80,84,86,97,23,48,88,25,46,24,51,88,78,43,13,33,87,9,33,35,91,79,82,64,5,37,81
1379,nombreA1379,apellidoA1379,44897,162.56,Activo,42962,95,20,47,69,26,81,84,65,50,80,2,51,97,65,0,30,26,43,65,3,58,7,85,89,80,37,58,26,74,4,63,86,55,57,50,93,97,46,19,56,72,4,58
1380,nombreA1380,apellidoA1380,44928,163.81,Activo,42963,8,24,86,83,83,10,79,96,37,23,57,88,48,79,43,78,21,0,63,1,57,23,98,72,3,93,90,51,41,56,27,8,52,24,85,64,41,38,87,89,19,94,15
1381,nombreA1381,apellidoA1381,44959,165.06,Activo,42964,13,18,33,81,9,37,0,52,94,78,87,48,98,42,38,78,18,20,46,76,89,68,45,94,63,91,33,61,56,1,28,43,22,77,98,67,10,59,85,56,24,27,99
1382,nombreA1382,apellidoA1382,44987,166.31,Activo,42965,27,89,47,18,46,10,51,61,63,9,94,49,52,66,7,84,93,95,27,28,40,37,79,39,84,50,30,19,4,56,96,53,68,26,5,94,52,52,9,16,50,92,58
1383,nombreA1383,apellidoA1383,45018,167.56,Activo,42966,61,2,93,48,15,68,97,0,71,45,0,69,25,85,54,69,53,4,13,54,94,89,17,16,48,91,99,14,53,56,22,78,40,55,23,69,77,53,59,60,96,78,66
1384,nombreA1384,apellidoA1384,45048,168.81,Activo,42967,60,62,42,89,76,40,66,28,22,76,75,76,47,72,26,39,27,41,5,80,3,6,10,76,94,54,67,89,19,49,60,57,87,79,54,25,14,37,4,29,42,18,96
1385,nombreA1385,apellidoA1385,45079,170.06,Activo,42968,29,78,18,20,37,21,74,15,33,49,90,88,31,59,53,12,13,25,1,50,37,18,86,26,72,83,77,80,91,4,7,89,65,60,89,14,21,7,32,49,19,80,90
1386,nombreA1386,apellidoA1386,45109,171.31,Activo,42969,93,9,27,28,47,63,48,60,74,50,69,35,50,38,24,93,11,12,88,53,85,16,19,78,68,17,4,77,6,58,29,11,65,59,88,63,48,7,33,78,70,72,79
1387,nombreA1387,apellidoA1387,45140,172.56,Activo,42970,39,87,65,27,38,60,64,84,2,38,0,19,67,87,48,37,11,58,83,83,13,89,55,5,89,52,81,44,48,40,94,12,14,74,88,44,95,50,61,67,63,82,75
1388,nombreA1388,apellidoA1388,45171,173.81,Activo,42971,33,22,75,15,24,54,92,18,80,59,42,51,85,66,70,52,20,50,29,5,54,22,39,72,86,61,13,2,35,82,5,21,11,89,27,98,72,24,79,96,71,18,97
1389,nombreA1389,apellidoA1389,45201,175.06,Activo,42972,41,93,45,59,19,26,81,81,71,61,64,26,28,5,39,25,16,7,3,76,26,67,79,42,95,8,6,3,87,32,70,28,78,80,61,98,94,16,86,36,97,82,77
1390,nombreA1390,apellidoA1390,45232,176.31,Activo,42973,90,32,93,7,5,54,72,79,44,5,18,52,62,61,45,46,24,93,74,4,28,72,51,76,56,63,77,95,15,72,28,49,92,84,99,75,76,72,75,33,85,67,26
1391,nombreA1391,apellidoA1391,45262,177.56,Activo,42974,82,3,27,73,62,33,80,51,9,46,24,37,68,8,2,39,11,72,82,94,5,77,93,72,81,45,41,9,44,92,17,84,17,61,51,73,24,18,37,82,4,59,95
1392,nombreA1392,apellidoA1392,45293,178.81,Activo,42975,96,34,52,58,62,59,56,47,46,50,71,28,14,47,38,33,67,5,92,29,69,37,1,60,9,74,47,67,61,19,7,57,13,35,97,24,51,55,44,18,90,28,68
1393,nombreA1393,apellidoA1393,45324,180.06,Activo,42976,83,35,94,37,33,37,90,14,99,56,65,78,16,69,60,88,74,91,2,21,93,39,93,91,58,45,93,82,45,75,21,23,30,5,85,16,37,70,96,18,67,74,27
1394,nombreA1394,apellidoA1394,45353,181.31,Activo,42977,6,97,48,6,83,58,37,2,13,43,98,58,83,28,19,94,16,22,40,83,14,7,87,83,61,10,85,20,15,18,20,50,10,68,2,28,57,16,38,41,90,53,97
1395,nombreA1395,apellidoA1395,45384,182.56,Activo,42978,37,97,61,92,76,29,84,86,51,55,84,81,91,43,51,18,25,68,70,91,38,27,86,70,76,66,69,30,21,44,8,15,26,31,8,70,79,53,13,45,4,24,29
1396,nombreA1396,apellidoA1396,45414,183.81,Activo,42979,23,98,7,88,7,96,53,12,59,83,17,19,38,69,88,98,81,96,76,69,8,5,89,0,67,72,65,80,43,25,87,48,52,31,96,62,85,73,98,43,77,46,36
1397,nombreA1397,apellidoA1397,45445,185.06,Activo,42980,45,28,14,7,99,10,29,29,85,17,7,47,65,92,54,55,22,45,62,50,16,76,11,34,86,43,51,16,92,77,91,52,52,98,9,26,96,70,5,37,40,64,25
1398,nombreA1398,apellidoA1398,45475,186.31,Activo,42981,26,96,99,22,86,36,95,13,6,88,50,62,82,54,58,66,78,94,34,75,90,54,44,55,48,14,75,72,29,89,10,56,95,10,50,17,32,23,61,81,53,16,62
1399,nombreA1399,apellidoA1399,45506,187.56,Activo,42982,34,13,26,92,75,7,79,61,96,7,50,4,26,5,4,74,45,49,86,85,20,58,90,32,55,3,68,10,13,66,94,42,42,16,30,72,70,28,77,79,58,5,82
1400,nombreA1400,apellidoA1400,45537,188.81,Activo,42983,50,45,86,74,29,87,87,84,64,34,60,95,97,34,7,51,39,82,94,27,37,7,80,11,23,31,64,8,48,88,45,85,68,18,63,97,4,65,85,70,55,68,15
1401,nombreA1401,apellidoA1401,45567,190.06,Activo,42984,66,40,45,2,5,41,3,88,80,39,67,93,53,60,98,0,14,31,40,74,45,54,95,86,83,26,26,77,12,35,81,54,86,66,7,64,57,91,42,57,17,7,96
1402,nombreA1402,apellidoA1402,45598,191.31,Activo,42985,36,39,64,99,1,53,57,52,4,43,55,85,87,15,56,94,46,74,79,69,3,35,66,41,15,56,16,47,70,51,65,13,56,44,1,30,13,5,7,50,66,85,75
1403,nombreA1403,apellidoA1403,45628,192.56,Activo,42986,34,84,20,11,34,38,29,1,33,28,7,24,93,88,27,58,22,93,96,65,48,90,73,7,25,21,54,9,89,12,79,87,23,50,95,99,32,72,1,55,13,25,71
1404,nombreA1404,apellidoA1404,45659,193.81,Activo,42987,46,75,60,16,56,15,53,92,62,87,85,54,46,4,72,16,74,57,86,68,98,93,71,87,40,1,91,26,88,19,94,42,47,32,26,58,5,67,94,95,44,44,17
1405,nombreA1405,apellidoA1405,45690,195.06,Activo,42988,78,58,67,66,67,36,24,62,38,31,51,27,31,76,85,58,22,16,44,11,64,13,16,38,94,89,17,84,69,70,46,40,64,82,14,92,1,32,46,24,57,99,73
1406,nombreA1406,apellidoA1406,45718,196.31,Activo,42989,44,70,81,93,54,33,79,43,47,28,20,80,53,93,79,98,15,58,88,90,3,46,68,21,20,68,68,27,12,23,59,93,43,58,83,10,92,80,99,58,26,91,6
1407,nombreA1407,apellidoA1407,45749,197.56,Activo,42990,98,90,45,43,0,72,36,3,44,91,35,38,14,54,29,63,95,92,0,50,43,97,39,40,38,17,5,36,29,72,47,96,77,36,6,10,55,49,5,42,95,63,46
1408,nombreA1408,apellidoA1408,45779,198.81,Activo,42991,29,2,75,94,25,72,66,91,54,26,88,70,76,9,12,96,42,38,86,14,89,45,65,60,47,9,7,53,82,15,28,5,30,79,10,92,35,32,21,84,15,82,77
1409,nombreA1409,apellidoA1409,45810,200.06,Activo,42992,13,28,36,39,27,12,33,31,63,86,43,13,34,11,65,14,41,72,21,38,46,91,77,52,96,75,43,45,70,94,76,41,6,21,7,6,40,81,86,11,65,31,36
1410,nombreA1410,apellidoA1410,45840,201.31,Activo,42993,59,75,3,21,74,97,55,1,29,32,41,43,62,5,53,54,49,51,94,12,86,70,1,1,26,87,63,18,58,89,34,30,57,73,10,34,39,27,96,64,98,76,54
1411,nombreA1411,apellidoA1411,45871,202.56,Activo,42994,25,99,75,42,17,88,74,60,61,49,30,44,6,98,10,29,68,70,34,56,60,50,27,40,43,62,73,73,69,25,0,97,29,4,72,85,39,93,29,67,23,56,93
1412,nombreA1412,apellidoA1412,45902,203.81,Activo,42995,76,63,71,1,21,49,23,99,43,92,60,58,26,39,11,49,39,34,74,76,89,95,71,4,65,92,29,26,80,64,45,63,27,58,45,4,89,8,10,40,72,25,45
1413,nombreA1413,apellidoA1413,45932,205.06,Activo,42996,98,74,37,86,52,86,59,51,33,65,66,0,67,56,73,58,36,76,76,62,74,6,22,37,29,48,95,36,14,69,46,73,5,38,17,68,61,68,60,59,4,5,26
1414,nombreA1414,apellidoA1414,45963,206.31,Activo,42997,13,96,87,16,82,26,12,29,87,84,34,8,21,89,21,30,12,59,19,62,82,67,52,87,10,8,5,59,77,79,22,42,80,8,67,3,58,94,10,77,75,86,0
1415,nombreA1415,apellidoA1415,45993,207.56,Activo,42998,17,27,10,0,61,72,42,50,54,28,58,35,48,48,55,32,3,43,27,94,26,37,4,41,87,81,18,38,1,30,96,82,41,20,12,8,64,35,30,12,73,68,77
1416,nombreA1416,apellidoA1416,46024,208.81,Activo,42999,86,0,86,13,63,65,16,8,69,89,28,74,17,46,82,55,33,43,15,78,90,60,29,90,26,57,41,43,18,56,14,12,18,69,49,13,78,45,58,96,23,39,43
1417,nombreA1417,apellidoA1417,46055,210.06,Activo,43000,67,23,8,57,34,54,73,12,14,80,46,59,34,6,22,6,87,64,27,28,53,5,24,14,40,20,24,36,53,8,7,64,26,24,85,4,82,68,60,94,78,73,42
1418,nombreA1418,apellidoA1418,46083,211.31,Activo,43001,69,4,46,67,99,37,41,78,35,27,4,10,17,7,9,42,16,36,75,52,96,89,12,13,36,25,21,71,96,53,56,41,43,59,85,95,6,49,9,46,8,15,18
1419,nombreA1419,apellidoA1419,46114,212.56,Activo,43002,86,79,26,84,26,9,72,93,5,96,26,12,97,49,1,18,57,99,33,65,84,11,4,0,61,11,74,26,28,55,73,46,53,25,8,83,10,70,25,83,7,71,23
1420,nombreA1420,apellidoA1420,46144,213.81,Activo,43003,85,76,45,5,99,37,62,23,0,18,37,96,65,1,20,57,40,73,45,74,58,6,71,51,65,24,96,79,32,69,85,43,8,74,0,12,40,59,8,55,16,59,65
1421,nombreA1421,apellidoA1421,46175,215.06,Activo,43004,50,74,2,78,62,59,71,42,61,2,43,73,0,93,87,10,62,9,43,87,59,7,48,12,86,95,97,50,72,85,60,80,2,62,88,19,90,93,48,67,83,4,84
1422,nombreA1422,apellidoA1422,46205,216.31,Activo,43005,72,23,1,74,11,79,38,22,19,13,37,92,89,71,6,68,95,61,92,84,90,74,54,48,88,81,49,4,10,39,27,24,64,13,65,27,8,65,75,56,34,95,24
1423,nombreA1423,apellidoA1423,46236,217.56,Activo,43006,84,93,3,3,88,37,28,5,5,29,51,60,25,25,21,50,69,74,23,63,9,99,36,87,12,53,75,38,15,5,26,26,14,63,43,48,87,38,39,95,28,83,9
1424,nombreA1424,apellidoA1424,46267,218.81,Activo,43007,51,92,89,20,51,76,69,99,46,23,14,52,83,95,9,6,74,88,47,52,23,32,40,75,13,56,0,88,13,94,52,9,55,31,83,81,98,94,35,66,55,87,74
1425,nombreA1425,apellidoA1425,46297,220.06,Activo,43008,63,22,56,34,46,72,49,95,83,38,77,72,84,44,85,32,5,71,73,11,75,81,10,11,43,76,79,35,87,5,61,44,75,14,52,76,84,46,93,6,70,36,25
1426,nombreA1426,apellidoA1426,46328,221.31,Activo,43009,19,31,0,50,20,8,49,84,49,58,50,50,2,52,76,77,90,47,92,2,78,92,65,39,46,38,10,21,70,67,31,15,61,83,0,87,86,20,67,31,70,76,76
1427,nombreA1427,apellidoA1427,46358,222.56,Activo,43010,21,70,23,20,62,41,93,41,96,18,18,39,67,68,58,44,85,38,2,77,6,13,85,13,55,83,46,90,12,73,89,98,45,98,23,7,73,58,25,83,28,53,91
1428,nombreA1428,apellidoA1428,46389,223.81,Activo,43011,63,86,28,32,50,78,43,42,3,72,55,73,43,24,70,85,94,20,80,24,36,40,28,83,87,33,47,68,56,92,71,39,72,97,50,62,19,48,77,0,56,92,35
1429,nombreA1429,apellidoA1429,46420,225.06,Activo,43012,70,43,33,69,64,29,13,62,43,66,36,79,73,9,72,29,69,8,46,48,91,74,52,19,57,35,57,23,70,35,72,37,65,26,93,54,14,84,82,84,90,7,69
1430,nombreA1430,apellidoA1430,46448,226.31,Activo,43013,29,19,21,13,86,14,88,57,74,2,39,11,33,49,82,9,72,28,74,29,98,50,51,95,12,57,20,2,55,29,21,51,50,41,61,99,61,28,20,80,31,94,42
1431,nombreA1431,apellidoA1431,46479,227.56,Activo,43014,78,29,59,94,76,13,68,34,92,6,80,93,84,28,30,92,42,3,44,78,43,31,33,98,78,48,63,62,95,66,21,81,6,12,70,53,25,56,70,6,40,42,3
1432,nombreA1432,apellidoA1432,46509,228.81,Activo,43015,71,74,29,99,55,60,86,25,79,68,23,28,87,11,30,72,36,60,43,87,45,7,61,16,21,58,0,13,35,51,55,83,7,92,31,77,36,17,53,14,94,11,12
1433,nombreA1433,apellidoA1433,46540,230.06,Activo,43016,29,66,32,97,73,24,62,35,74,79,98,65,74,37,82,95,4,66,58,9,35,66,3,95,67,95,4,63,46,1,70,3,96,92,30,20,87,55,23,79,57,22,48
1434,nombreA1434,apellidoA1434,46570,231.31,Activo,43017,93,77,79,14,68,50,41,34,18,59,84,83,58,52,30,70,4,67,37,21,64,85,92,98,4,85,23,0,39,60,8,71,32,57,8,95,46,70,19,84,34,5,7
1435,nombreA1435,apellidoA1435,46601,232.56,Activo,43018,30,77,53,89,83,16,4,88,20,36,36,65,27,10,54,31,38,51,4,96,99,90,41,63,82,12,71,83,35,40,29,78,1,98,46,97,60,85,76,19,72,86,54
1436,nombreA1436,apellidoA1436,46632,233.81,Activo,43019,84,28,34,72,91,3,39,28,75,96,45,26,45,77,92,81,44,36,97,17,74,84,52,75,57,92,98,46,70,63,65,41,39,47,43,83,6,57,88,2,24,16,16
1437,nombreA1437,apellidoA1437,46662,235.06,Activo,43020,39,95,64,70,11,2,91,98,5,41,80,11,28,44,27,80,12,67,34,66,81,13,29,48,9,90,38,31,25,14,41,29,10,98,49,13,88,72,5,78,88,52,49
1438,nombreA1438,apellidoA1438,46693,236.31,Activo,43021,6,70,78,54,46,83,20,58,92,45,74,24,98,0,35,16,94,82,14,70,33,86,36,52,82,55,1,83,19,35,79,77,82,95,62,51,93,81,62,32,27,55,37
1439,nombreA1439,apellidoA1439,46723,237.56,Activo,43022,29,49,84,27,53,75,44,29,0,79,87,70,13,55,51,59,46,13,63,63,11,32,26,13,72,13,8,1,7,11,41,90,69,94,97,98,3,39,64,23,29,70,50
